index,value
0,-128.0
1,127.0
2,127.0
3,127.0
4,127.0
5,127.0
6,127.0
7,127.0
8,127.0
9,127.0
10,127.0
11,127.0
12,-128.0
13,-128.0
14,-128.0
15,-128.0
16,-128.0
17,-128.0
18,-128.0
19,-128.0
20,-128.0
21,-128.0
22,127.0
23,127.0
24,127.0
25,127.0
26,127.0
27,127.0
28,127.0
29,127.0
30,127.0
31,127.0
32,127.0
33,-128.0
34,-128.0
35,-128.0
36,-128.0
37,-128.0
38,-128.0
39,-128.0
40,-128.0
41,-128.0
42,-128.0
43,-128.0
44,127.0
45,127.0
46,127.0
47,127.0
48,127.0
49,127.0
50,127.0
51,127.0
52,127.0
53,127.0
54,-128.0
55,-128.0
56,-128.0
57,-128.0
58,-128.0
59,-128.0
60,-128.0
61,-128.0
62,-128.0
63,-128.0
64,-128.0
65,127.0
66,127.0
67,127.0
68,127.0
69,127.0
70,127.0
71,127.0
72,127.0
73,127.0
74,127.0
75,127.0
76,-128.0
77,-128.0
78,-128.0
79,-128.0
80,-128.0
81,-128.0
82,-128.0
83,-128.0
84,-128.0
85,-128.0
86,127.0
87,127.0
88,127.0
89,127.0
90,127.0
91,127.0
92,127.0
93,127.0
94,127.0
95,127.0
96,127.0
97,-128.0
98,-128.0
99,-128.0
100,-128.0
101,-128.0
102,-128.0
103,-128.0
104,-128.0
105,-128.0
106,-128.0
107,-128.0
108,127.0
109,127.0
110,127.0
111,127.0
112,127.0
113,127.0
114,127.0
115,127.0
116,127.0
117,127.0
118,-128.0
119,-128.0
120,-128.0
121,-128.0
122,-128.0
123,-128.0
124,-128.0
125,-128.0
126,-128.0
127,-128.0
128,-128.0
129,127.0
130,127.0
131,127.0
132,127.0
133,127.0
134,127.0
135,127.0
136,127.0
137,127.0
138,127.0
139,127.0
140,-128.0
141,-128.0
142,-128.0
143,-128.0
144,-128.0
145,-128.0
146,-128.0
147,-128.0
148,-128.0
149,-128.0
150,127.0
151,127.0
152,127.0
153,127.0
154,127.0
155,127.0
156,127.0
157,127.0
158,127.0
159,127.0
160,127.0
161,-128.0
162,-128.0
163,-128.0
164,-128.0
165,-128.0
166,-128.0
167,-128.0
168,-128.0
169,-128.0
170,-128.0
171,-128.0
172,127.0
173,127.0
174,127.0
175,127.0
176,127.0
177,127.0
178,127.0
179,127.0
180,127.0
181,127.0
182,-128.0
183,-128.0
184,-128.0
185,-128.0
186,-128.0
187,-128.0
188,-128.0
189,-128.0
190,-128.0
191,-128.0
192,-128.0
193,127.0
194,127.0
195,127.0
196,127.0
197,127.0
198,127.0
199,127.0
200,127.0
201,127.0
202,127.0
203,127.0
204,-128.0
205,-128.0
206,-128.0
207,-128.0
208,-128.0
209,-128.0
210,-128.0
211,-128.0
212,-128.0
213,-128.0
214,127.0
215,127.0
216,127.0
217,127.0
218,127.0
219,127.0
220,127.0
221,127.0
222,127.0
223,127.0
224,127.0
225,-128.0
226,-128.0
227,-128.0
228,-128.0
229,-128.0
230,-128.0
231,-128.0
232,-128.0
233,-128.0
234,-128.0
235,-128.0
236,127.0
237,127.0
238,127.0
239,127.0
240,127.0
241,127.0
242,127.0
243,127.0
244,127.0
245,127.0
246,-128.0
247,-128.0
248,-128.0
249,-128.0
250,-128.0
251,-128.0
252,-128.0
253,-128.0
254,-128.0
255,-128.0
256,-128.0
257,127.0
258,127.0
259,127.0
260,127.0
261,127.0
262,127.0
263,127.0
264,127.0
265,127.0
266,127.0
267,127.0
268,-128.0
269,-128.0
270,-128.0
271,-128.0
272,-128.0
273,-128.0
274,-128.0
275,-128.0
276,-128.0
277,-128.0
278,127.0
279,127.0
280,127.0
281,127.0
282,127.0
283,127.0
284,127.0
285,127.0
286,127.0
287,127.0
288,-128.0
289,127.0
290,-128.0
291,-128.0
292,127.0
293,-128.0
294,127.0
295,-128.0
296,127.0
297,127.0
298,-128.0
299,127.0
300,-128.0
301,127.0
302,-128.0
303,-128.0
304,127.0
305,-128.0
306,127.0
307,-128.0
308,127.0
309,-128.0
310,-128.0
311,127.0
312,-128.0
313,127.0
314,-128.0
315,127.0
316,127.0
317,-128.0
318,127.0
319,-128.0
320,127.0
321,-128.0
322,127.0
323,127.0
324,-128.0
325,127.0
326,-128.0
327,127.0
328,-128.0
329,-128.0
330,127.0
331,-128.0
332,127.0
333,-128.0
334,127.0
335,127.0
336,-128.0
337,127.0
338,-128.0
339,127.0
340,-128.0
341,127.0
342,127.0
343,-128.0
344,127.0
345,-128.0
346,127.0
347,-128.0
348,-128.0
349,127.0
350,-128.0
351,127.0
352,-128.0
353,127.0
354,-128.0
355,-128.0
356,127.0
357,-128.0
358,127.0
359,-128.0
360,127.0
361,127.0
362,-128.0
363,127.0
364,-128.0
365,127.0
366,-128.0
367,-128.0
368,127.0
369,-128.0
370,127.0
371,-128.0
372,127.0
373,-128.0
374,-128.0
375,127.0
376,-128.0
377,127.0
378,-128.0
379,127.0
380,127.0
381,-128.0
382,127.0
383,-128.0
384,127.0
385,-128.0
386,127.0
387,127.0
388,-128.0
389,127.0
390,-128.0
391,127.0
392,-128.0
393,-128.0
394,127.0
395,-128.0
396,127.0
397,-128.0
398,127.0
399,127.0
400,-128.0
401,127.0
402,-128.0
403,127.0
404,-128.0
405,127.0
406,127.0
407,-128.0
408,127.0
409,-128.0
410,127.0
411,-128.0
412,-128.0
413,127.0
414,-128.0
415,127.0
416,-128.0
417,127.0
418,-128.0
419,-128.0
420,127.0
421,-128.0
422,127.0
423,-128.0
424,127.0
425,127.0
426,-128.0
427,127.0
428,-128.0
429,127.0
430,-128.0
431,-128.0
432,127.0
433,-128.0
434,127.0
435,-128.0
436,127.0
437,-128.0
438,-128.0
439,127.0
440,-128.0
441,127.0
442,-128.0
443,127.0
444,127.0
445,-128.0
446,127.0
447,-128.0
448,127.0
449,-128.0
450,127.0
451,127.0
452,-128.0
453,127.0
454,-128.0
455,127.0
456,-128.0
457,-128.0
458,127.0
459,-128.0
460,127.0
461,-128.0
462,127.0
463,127.0
464,-128.0
465,127.0
466,-128.0
467,127.0
468,-128.0
469,127.0
470,127.0
471,-128.0
472,127.0
473,-128.0
474,127.0
475,-128.0
476,-128.0
477,127.0
478,-128.0
479,127.0
480,-128.0
481,127.0
482,-128.0
483,-128.0
484,127.0
485,-128.0
486,127.0
487,-128.0
488,127.0
489,127.0
490,-128.0
491,127.0
492,-128.0
493,127.0
494,-128.0
495,-128.0
496,127.0
497,-128.0
498,127.0
499,-128.0
500,127.0
501,-128.0
502,-128.0
503,127.0
504,-128.0
505,127.0
506,-128.0
507,127.0
508,127.0
509,-128.0
510,127.0
511,-128.0
512,127.0
513,-128.0
514,127.0
515,127.0
516,-128.0
517,127.0
518,-128.0
519,127.0
520,-128.0
521,-128.0
522,127.0
523,-128.0
524,127.0
525,-128.0
526,127.0
527,127.0
528,-128.0
529,127.0
530,-128.0
531,127.0
532,-128.0
533,127.0
534,127.0
535,-128.0
536,127.0
537,-128.0
538,127.0
539,-128.0
540,-128.0
541,127.0
542,-128.0
543,127.0
544,-128.0
545,127.0
546,-128.0
547,-128.0
548,127.0
549,-128.0
550,127.0
551,-128.0
552,127.0
553,127.0
554,-128.0
555,127.0
556,-128.0
557,127.0
558,-128.0
559,-128.0
560,127.0
561,-128.0
562,127.0
563,-128.0
564,127.0
565,-128.0
566,-128.0
567,127.0
568,-128.0
569,127.0
570,-128.0
571,127.0
572,127.0
573,-128.0
574,127.0
575,-128.0
576,127.0
577,-128.0
578,127.0
579,127.0
580,-128.0
581,127.0
582,-128.0
583,127.0
584,-128.0
585,-128.0
586,127.0
587,-128.0
588,127.0
589,-128.0
590,127.0
591,127.0
592,-128.0
593,127.0
594,-128.0
595,127.0
596,-128.0
597,127.0
598,127.0
599,-128.0
600,127.0
601,-128.0
602,127.0
603,-128.0
604,-128.0
605,127.0
606,-128.0
607,127.0
608,-128.0
609,127.0
610,-128.0
611,-128.0
612,127.0
613,-128.0
614,127.0
615,-128.0
616,127.0
617,127.0
618,-128.0
619,127.0
620,-128.0
621,127.0
622,-128.0
623,-128.0
624,127.0
625,-128.0
626,127.0
627,-128.0
628,127.0
629,-128.0
630,-128.0
631,127.0
632,-128.0
633,127.0
634,-128.0
635,127.0
636,127.0
637,-128.0
638,127.0
639,-128.0
640,127.0
641,-128.0
642,127.0
643,127.0
644,-128.0
645,127.0
646,-128.0
647,127.0
648,-128.0
649,-128.0
650,127.0
651,-128.0
652,127.0
653,-128.0
654,127.0
655,127.0
656,-128.0
657,127.0
658,-128.0
659,127.0
660,-128.0
661,127.0
662,127.0
663,-128.0
664,127.0
665,-128.0
666,127.0
667,-128.0
668,-128.0
669,127.0
670,-128.0
671,127.0
672,-128.0
673,127.0
674,-128.0
675,-128.0
676,127.0
677,-128.0
678,127.0
679,-128.0
680,127.0
681,127.0
682,-128.0
683,127.0
684,-128.0
685,127.0
686,-128.0
687,-128.0
688,127.0
689,-128.0
690,127.0
691,-128.0
692,127.0
693,-128.0
694,-128.0
695,127.0
696,-128.0
697,127.0
698,-128.0
699,127.0
700,127.0
701,-128.0
702,127.0
703,-128.0
704,127.0
705,-128.0
706,127.0
707,127.0
708,-128.0
709,127.0
710,-128.0
711,127.0
712,-128.0
713,-128.0
714,127.0
715,-128.0
716,127.0
717,-128.0
718,127.0
719,127.0
720,-128.0
721,127.0
722,-128.0
723,127.0
724,-128.0
725,127.0
726,127.0
727,-128.0
728,127.0
729,-128.0
730,127.0
731,-128.0
732,-128.0
733,127.0
734,-128.0
735,127.0
736,-128.0
737,127.0
738,-128.0
739,-128.0
740,127.0
741,-128.0
742,127.0
743,-128.0
744,127.0
745,127.0
746,-128.0
747,127.0
748,-128.0
749,127.0
750,-128.0
751,-128.0
752,127.0
753,-128.0
754,127.0
755,-128.0
756,127.0
757,-128.0
758,-128.0
759,127.0
760,-128.0
761,127.0
762,-128.0
763,127.0
764,127.0
765,-128.0
766,127.0
767,-128.0
768,127.0
769,-128.0
770,127.0
771,127.0
772,-128.0
773,127.0
774,127.0
775,-128.0
776,-128.0
777,-128.0
778,-128.0
779,-128.0
780,-128.0
781,127.0
782,127.0
783,127.0
784,127.0
785,127.0
786,127.0
787,127.0
788,127.0
789,127.0
790,127.0
791,127.0
792,127.0
793,127.0
794,127.0
795,127.0
796,127.0
797,127.0
798,127.0
799,127.0
800,127.0
801,127.0
802,127.0
803,-128.0
804,-128.0
805,-128.0
806,-128.0
807,-128.0
808,-128.0
809,-128.0
810,-128.0
811,-128.0
812,-128.0
813,127.0
814,127.0
815,-128.0
816,-128.0
817,-128.0
818,-128.0
819,-128.0
820,-128.0
821,127.0
822,127.0
823,127.0
824,127.0
825,127.0
826,127.0
827,127.0
828,127.0
829,-128.0
830,-128.0
831,-128.0
832,-128.0
833,-128.0
834,-128.0
835,-128.0
836,-128.0
837,-128.0
838,-128.0
839,-128.0
840,-128.0
841,-128.0
842,-128.0
843,127.0
844,127.0
845,-128.0
846,-128.0
847,-128.0
848,-128.0
849,-128.0
850,-128.0
851,127.0
852,127.0
853,127.0
854,127.0
855,127.0
856,127.0
857,127.0
858,127.0
859,127.0
860,127.0
861,-128.0
862,-128.0
863,-128.0
864,-128.0
865,-128.0
866,-128.0
867,-128.0
868,-128.0
869,-128.0
870,-128.0
871,-128.0
872,127.0
873,127.0
874,127.0
875,127.0
876,127.0
877,127.0
878,127.0
879,127.0
880,127.0
881,127.0
882,127.0
883,127.0
884,127.0
885,127.0
886,-128.0
887,-128.0
888,-128.0
889,-128.0
890,-128.0
891,-128.0
892,-128.0
893,127.0
894,127.0
895,127.0
896,127.0
897,127.0
898,127.0
899,127.0
900,127.0
901,127.0
902,127.0
903,127.0
904,127.0
905,127.0
906,127.0
907,127.0
908,127.0
909,127.0
910,127.0
911,127.0
912,127.0
913,127.0
914,127.0
915,127.0
916,127.0
917,127.0
918,127.0
919,127.0
920,127.0
921,127.0
922,127.0
923,127.0
924,127.0
925,127.0
926,127.0
927,127.0
928,127.0
929,127.0
930,127.0
931,127.0
932,127.0
933,127.0
934,127.0
935,127.0
936,127.0
937,127.0
938,-128.0
939,-128.0
940,-128.0
941,127.0
942,127.0
943,127.0
944,127.0
945,127.0
946,127.0
947,127.0
948,127.0
